Concept name	OntologyNodes	Assigned indicator	Default indicator match	Description	DatamartIdentifier1	DatamartIdentifier2	DatamartIdentifier3	Cheryl's Score for CauseMos Default Indicator	Cheryl's Better Default Available (Yes/No/Node Issue)	Cheryl's Composite Score for CauseMos Default	Cheryl's Score for UAZ Indicators	Cheryl's Better Sets Available (BeatsBest/BetterCoverage/No)	Cheryl's Composite Score for UAZ	"Cheryl's Causemos Default beats UAZ (1 if true, blank if not)"	"Cheryl's UAZ beats Causemos Default (1 if true, blank if not)"	Robyn's Score for Default Indicator	Robyn's Better Default Available (Yes/No/Node Issue)	Robyn's composite score for Default Indicator	Robyn's Score for UAZ Indicators	Robyn's Better Sets Available (BeatsBest/BetterCoverage/No)	Robyn's composite score for UAZ indicators	"Robyn's Causemos Default beats UAZ (1 if true, blank if not)"	"Robyn's UAZ beats Causemos Default (1 if true, blank if not)"	Cheryl's Datamart 1	Cheryl's Datamart 1 Description	Gold1a	Cheryl's  Datamart2	Cheryl's Datamart2 Description	Gold2a	Cheryl's Datamart 3	Cheryl's Datamart 3 Description	Gold3a	Cheryl's Comments	RK Dataset 1	RK Output 1	Gold1b	RK Dataset 2	RK Output 2	Gold2b	RK Dataset 3	RK Output 3	Gold3b	Robyn's Notes																									
wm/concept/government/government_program	wm/concept/government/government_program	Overall Government (Covid) Response Index	"DOJO/UAZ_VUAZ-2315/FAO: Gross Production Value (constant 2004-2006 million SLC), Meat indigenous, pig[SLC]"		DOJO/WDI_cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high/cpia_policies_for_social_inclusion_equity_cluster_average_1_low_to_6_high	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure	DOJO/WDI_benefit_incidence_of_social_safety_net_programs_to_poorest_quintile_of_total_safety_net_benefits/benefit_incidence_of_social_safety_net_programs_to_poorest_quintile_of_total_safety_net_benefits																																																													
wm/concept/government/judicial_system	wm/concept/government/judicial_system	Commodity Price	null		DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/P3: Human Rights																																																													
wm/concept/government/judicial_system	wm/concept/government/judicial_system	P1: State Legitimacy	null		DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/P3: Human Rights																																																													
wm/concept/government/legislation	wm/concept/government/legislation	Overall Government (Covid) Response Index	DOJO/9437b74a-3641-4d6e-a14d-1188cd660393/Sigi Value 2019 Sort Icon		DOJO/UAZ_VUAZ-6972/VUAZ-6972	DOJO/UAZ_VUAZ-6976/VUAZ-6976	DOJO/WDI_cpia_quality_of_public_administration_rating_1_low_to_6_high/cpia_quality_of_public_administration_rating_1_low_to_6_high																																																													
wm/concept/government/legislation	wm/concept/government/legislation	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	DOJO/9437b74a-3641-4d6e-a14d-1188cd660393/Sigi Value 2019 Sort Icon		DOJO/UAZ_VUAZ-6972/VUAZ-6972	DOJO/UAZ_VUAZ-6976/VUAZ-6976	DOJO/WDI_cpia_quality_of_public_administration_rating_1_low_to_6_high/cpia_quality_of_public_administration_rating_1_low_to_6_high																																																													
wm/concept/government/political_power	wm/concept/government/political_power	"Beans, dry (Area harvested, units = ha)"	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/UAZ_VUAZ-5815/VUAZ-5815																																																													
wm/concept/government/political_power	wm/concept/government/political_power	C1: Security Apparatus	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/UAZ_VUAZ-5815/VUAZ-5815																																																													
wm/concept/government/political_power	wm/concept/government/political_power	FSI dataset	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/UAZ_VUAZ-5815/VUAZ-5815																																																													
wm/concept/government/political_power	wm/concept/government/political_power	Fragile States Index	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/C2: Factionalized Elites	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/C2: Factionalized Elites	DOJO/UAZ_VUAZ-5815/VUAZ-5815																																																													
wm/concept/government/political_power_higher_temperatures	wm/concept/government/political_power wm/concept/environment/higher_temperatures	C1: Security Apparatus	null		DOJO/WDI_electric_power_consumption_kwh_per_capita/electric_power_consumption_kwh_per_capita	DOJO/f891e0d2-1557-434c-9d3d-ff417462a6e7/S1: Demographic Pressures	DOJO/6ffcc70a-60fe-43f7-900c-b4f4c4fdca24/S1: Demographic Pressures																																																													
wm/concept/government/political_power_instability	wm/concept/government/political_power wm/property/instability	C1: Security Apparatus	null		DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/government/political_power_protest_or_demonstration	wm/concept/government/political_power wm/process/conflict/protest_or_demonstration	C1: Security Apparatus	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/Number Of Wounded		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/country_non_primary	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/country_non_primary	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	1	Yes	1	1	BeatsBest	1			1	yes	1	1	BeatsBest/BetterCoverage	1			"{""id"":""UAZ_VUAZ-8382"", ,""name"":""University of Arizona Indicators """	",""display_name"":""Protests"", ,""description"":""Protests"""		"{""id"":""UAZ_VUAZ-5815"", ,""name"":""University of Arizona Indicators """	",""display_name"":""FAO: Value, Political stability and absence of violence/terrorism (index)[index]"", ,""description"":""FAO: Value, Political stability and absence of violence/terrorism (index)[index]"""					"Cheryl is not sure how to interpret the combination of these terms -- assumes that it means ""protest or demonstration against political power."" UAZ returns do not seem relevant. The causemos-default (Islamist Terrorist Attacks in the World - Africa and the Middle Eas/number of wounded) is incorrect."	"Nonviolent and Violent Campaigns and Outcomes Dataset, v. 3.0 - Kenya, South Sudan, Sudan (navco3-0_Kenya_South-Sudan_Sudan.xlsx)"	"campaign event count - used to permit causemos to visualize events on a map. permits one to count different types and conditions of events (e.g., count/display the number of protest events in a country)."		University of Arizona Indicators 	Protests		Social Conflict Analysis Database (SCAD) - Kenya - 1990-2016 (SCAD_OPs_10-Kenya.xlsx)	Event Count																											
wm/concept/government/political_power_tension	wm/concept/government/political_power wm/concept/crisis_or_disaster/conflict/tension	Commodity Price	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name	DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion																																																													
wm/concept/government/political_system	wm/concept/government/political_system	C1: Security Apparatus	null		DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/29ffc038-54cc-40f8-9345-99494ed21903/event_desc	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/government/polling_stations	wm/concept/government/polling_stations	Commodity Price	null		DOJO/07cc31fc-09db-41a2-aa91-aed193970a10/Total vote	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Total vote	DOJO/03913101-ee9b-4b01-aac2-af2ee1ac1d4f/Registration																																																													
wm/concept/government/state_collapse	wm/concept/government/state_collapse	State Fragility Index (sfi)	null		DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Disaster Stock Displacement	DOJO/WDI_firms_experiencing_losses_due_to_theft_and_vandalism_of_firms/firms_experiencing_losses_due_to_theft_and_vandalism_of_firms	DOJO/639e52da-521f-4263-aefc-5ebc7d980d87/Disaster New Displacements																																																													
wm/concept/government/state_power_multilateral_system	wm/concept/government/state_power wm/concept/entity/multilateral_system	C1: Security Apparatus	null		DOJO/WDI_external_health_expenditure_of_current_health_expenditure/external_health_expenditure_of_current_health_expenditure	DOJO/WDI_claims_on_central_government_annual_growth_as_of_broad_money/claims_on_central_government_annual_growth_as_of_broad_money	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure																																																													
wm/concept/government/state_power_multilateral_system	wm/concept/government/state_power wm/concept/entity/multilateral_system	Fragile States Index	null		DOJO/WDI_external_health_expenditure_of_current_health_expenditure/external_health_expenditure_of_current_health_expenditure	DOJO/WDI_claims_on_central_government_annual_growth_as_of_broad_money/claims_on_central_government_annual_growth_as_of_broad_money	DOJO/WDI_domestic_general_government_health_expenditure_of_current_health_expenditure/domestic_general_government_health_expenditure_of_current_health_expenditure																																																													
wm/concept/government/state_power_tension	wm/concept/government/state_power wm/concept/crisis_or_disaster/conflict/tension	State Fragility Index (sfi)	null		DOJO/b790580d-f97e-46e8-8f0f-a822474014da/nregion	DOJO/709abbb4-9219-497d-9d31-e12bab1043c5/Conflict Event Count	DOJO/8f8e169b-544b-4e48-9ad7-2ef73e31640a/conflict_name																																																													
wm/concept/government/transition_of_power	wm/concept/government/transition_of_power	"Beans, dry (Area harvested, units = ha)"	DOJO/OECD/General government revenues		DOJO/UAZ_VUAZ-7168/VUAZ-7168	DOJO/UAZ_VUAZ-7906/VUAZ-7906	DOJO/UAZ_VUAZ-7028/VUAZ-7028																																																													
wm/concept/government/transition_of_power	wm/concept/government/transition_of_power	Number of holders	DOJO/OECD/General government revenues		DOJO/UAZ_VUAZ-7168/VUAZ-7168	DOJO/UAZ_VUAZ-7906/VUAZ-7906	DOJO/UAZ_VUAZ-7028/VUAZ-7028																																																													
wm/concept/government/transition_of_power	wm/concept/government/transition_of_power	State Fragility Index and Matrix - 1995-2018 (SFIv2018.xls)	DOJO/OECD/General government revenues		DOJO/UAZ_VUAZ-7168/VUAZ-7168	DOJO/UAZ_VUAZ-7906/VUAZ-7906	DOJO/UAZ_VUAZ-7028/VUAZ-7028																																																													
wm/concept/government_election	wm/concept/government/ wm/concept/government/election	null	null		DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office	DOJO/e8f6aa91-2b52-4daa-b15b-ac1deac63940/office	DOJO/UAZ_VUAZ-7168/VUAZ-7168																																																													
wm/concept/government_income	wm/concept/government/ wm/concept/economy/income	Total Income	null		DOJO/UAZ_VUAZ-7029/VUAZ-7029	DOJO/WDI_net_primary_income_net_income_from_abroad_current_us/net_primary_income_net_income_from_abroad_current_us	DOJO/OECD/general_government_revenues																																																													
wm/concept/government_police_brutality	wm/concept/government/ wm/process/conflict/police_brutality	Overall Government (Covid) Response Index	null		DOJO/UAZ_VUAZ-8379/VUAZ-8379	DOJO/f3db0792-acfc-4551-8cbd-0f5ccf8bc90c/country	DOJO/fed1b025-a039-4a60-b033-59114ede203e/country																																																													
wm/concept/government_reaction_or_response	wm/concept/government/ wm/process/reaction_or_response	Security Effectiveness (seceff)	null		DOJO/UAZ_VUAZ-7028/VUAZ-7028	DOJO/WDI_cpia_quality_of_public_administration_rating_1_low_to_6_high/cpia_quality_of_public_administration_rating_1_low_to_6_high	DOJO/d3b38047-15b9-4032-b745-ccc6734972fd/office																																																													
wm/concept/health	wm/concept/health/	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/UAZ_VUAZ-7098/VUAZ-7098	DOJO/WDI_community_health_workers_per_1_000_people/community_health_workers_per_1_000_people	DOJO/UAZ_VUAZ-7031/VUAZ-7031																																																													
wm/concept/health/biometrics_vaccination	wm/concept/health/biometrics wm/concept/health/vaccination	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/UAZ_VUAZ-2083/VUAZ-2083	DOJO/UAZ_VUAZ-4138/VUAZ-4138	DOJO/UAZ_VUAZ-4137/VUAZ-4137																																																													
wm/concept/health/case_volume	wm/concept/health/case_volume	Births Attended By Skilled Health Staff (% Of Total)	DOJO/e7160d9e-a5f3-42fe-abc6-e9e1b296c2ce/Assoc Actor 2		DOJO/UAZ_VUAZ-8317/VUAZ-8317	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/UAZ_VUAZ-8319/VUAZ-8319																																																													
wm/concept/health/disease	wm/concept/health/disease/	Births Attended By Skilled Health Staff (% Of Total)	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/UAZ_VUAZ-8309/VUAZ-8309	DOJO/UAZ_VUAZ-8037/VUAZ-8037																																																													
wm/concept/health/disease	wm/concept/health/disease/	Fragile States Index	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/UAZ_VUAZ-8309/VUAZ-8309	DOJO/UAZ_VUAZ-8037/VUAZ-8037																																																													
wm/concept/health/disease/AIDS	wm/concept/health/disease/AIDS	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/UAZ_VUAZ-44/VUAZ-44	DOJO/UAZ_VUAZ-47/VUAZ-47	DOJO/UAZ_VUAZ-39/VUAZ-39	0	Yes	1	1	BeatsBest	1			0	yes	1	1	BeatsBest/BetterCoverage	1			"{""id"":""WDI_antiretroviral_therapy_coverage_of_people_living_with_hiv"", ,""name"":""World Development Indicators"""	",""display_name"":""Antiretroviral therapy coverage (% of people living with HIV)"", ,""description"":""SOURCE NOTE: Antiretroviral therapy coverage indicates the percentage of all people living with HIV who are receiving antiretroviral therapy.\\nSOURCE ORGANIZATION: UNAIDS estimates."""		"{""id"":""WDI_incidence_of_hiv_per_1_000_uninfected_population_ages_15_49"", ,""name"":""World Development Indicators"""	",""display_name"":""Incidence of HIV (per 1,000 uninfected population ages 15-49)"", ,""description"":""SOURCE NOTE: Number of new HIV infections among uninfected populations ages 15-49 expressed per 1,000 uninfected population in the year before the period.\\nSOURCE ORGANIZATION: UNAIDS estimates."""		"{""id"":""WDI_prevalence_of_hiv_total_of_population_ages_15_49"", ,""name"":""World Development Indicators"""	",""display_name"":""Prevalence of HIV, total (% of population ages 15-49)"", ,""description"":""SOURCE NOTE: Prevalence of HIV refers to the percentage of people ages 15-49 who are infected with HIV.\\nSOURCE ORGANIZATION: UNAIDS estimates."""		"UAZ datasets are: FAO: Food aid shipments, Milk,Total, FAO: Food aid shipments, Pulses,Total, and FAO: Food aid shipments, Cereals . All are completely off topic. "	World Development Indicators	"Incidence of HIV (per 1,000 uninfected population ages 15-49)"		University of Arizona Indicators 	WHO: Prevalence of HIV among adults aged 15 to 49[%]		University of Arizona Indicators 	WDI: Antiretroviral therapy coverage[% of people living with HIV]																											
wm/concept/health/disease/COVID	wm/concept/health/disease/COVID	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)																																																													
wm/concept/health/disease/COVID	wm/concept/health/disease/COVID	OxCGRT Government Response Index with COVID-19 data for East Africa (OxCGRT_government_response_index-East-Africa.xlsx)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)																																																													
wm/concept/health/disease/COVID_case_volume	wm/concept/health/disease/COVID wm/concept/health/case_volume	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/UAZ_VUAZ-8317/VUAZ-8317	DOJO/UAZ_VUAZ-7849/VUAZ-7849																																																													
wm/concept/health/disease/COVID_case_volume	wm/concept/health/disease/COVID wm/concept/health/case_volume	OxCGRT Government Response Index with COVID-19 data for East Africa (OxCGRT_government_response_index-East-Africa.xlsx)	null		DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/UAZ_VUAZ-8317/VUAZ-8317	DOJO/UAZ_VUAZ-7849/VUAZ-7849																																																													
wm/concept/health/disease/COVID_disease	wm/concept/health/disease/COVID wm/concept/health/disease/	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/UAZ_VUAZ-8309/VUAZ-8309	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"																																																													
wm/concept/health/disease/COVID_disease	wm/concept/health/disease/COVID wm/concept/health/disease/	OxCGRT Government Response Index with COVID-19 data for East Africa (OxCGRT_government_response_index-East-Africa.xlsx)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/UAZ_VUAZ-8309/VUAZ-8309	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"																																																													
wm/concept/health/disease/COVID_information	wm/concept/health/disease/COVID wm/concept/information/	OxCGRT Government Response Index with COVID-19 data for East Africa (OxCGRT_government_response_index-East-Africa.xlsx)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/WDI_completeness_of_death_registration_with_cause_of_death_information/completeness_of_death_registration_with_cause_of_death_information	DOJO/WDI_tuberculosis_case_detection_rate_all_forms/tuberculosis_case_detection_rate_all_forms																																																													
wm/concept/health/disease/COVID_information	wm/concept/health/disease/COVID wm/concept/information/	null	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/WDI_completeness_of_death_registration_with_cause_of_death_information/completeness_of_death_registration_with_cause_of_death_information	DOJO/WDI_tuberculosis_case_detection_rate_all_forms/tuberculosis_case_detection_rate_all_forms																																																													
wm/concept/health/disease/COVID_lockdown	wm/concept/health/disease/COVID wm/process/medical/lockdown	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)																																																													
wm/concept/health/disease/COVID_lockdown	wm/concept/health/disease/COVID wm/process/medical/lockdown	OxCGRT Government Response Index with COVID-19 data for East Africa (OxCGRT_government_response_index-East-Africa.xlsx)	null		DOJO/UAZ_VUAZ-7849/VUAZ-7849	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)																																																													
wm/concept/health/disease/COVID_outbreak	wm/concept/health/disease/COVID wm/process/outbreak	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)	DOJO/UAZ_VUAZ-7849/VUAZ-7849																																																													
wm/concept/health/disease/flu	wm/concept/health/disease/flu	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/UAZ_VUAZ-8318/VUAZ-8318																																																													
wm/concept/health/disease/flu_epidemic	wm/concept/health/disease/flu wm/concept/crisis_or_disaster/epidemic	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/UAZ_VUAZ-8318/VUAZ-8318																																																													
wm/concept/health/disease/illness	wm/concept/health/disease/illness	Total Affected	DOJO/bd382073-9d1e-4ca0-85fc-d3aee1cdb147/Sam Rate		DOJO/bd382073-9d1e-4ca0-85fc-d3aee1cdb147/sam_rate	DOJO/UAZ_VUAZ-8309/VUAZ-8309	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"																																																													
wm/concept/health/disease/illness_case_volume	wm/concept/health/disease/illness wm/concept/health/case_volume	Total Affected	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/bd382073-9d1e-4ca0-85fc-d3aee1cdb147/sam_rate																																																													
wm/concept/health/disease/illness_outbreak	wm/concept/health/disease/illness wm/process/outbreak	Total Affected	null		DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Deaths (cumulative)	DOJO/e87778f4-9894-4e75-b206-3e2ea15639a7/Confirmed Cases (cumulative)	DOJO/UAZ_VUAZ-7849/VUAZ-7849																																																													
wm/concept/health/gene	wm/concept/health/gene	Births Attended By Skilled Health Staff (% Of Total)	DOJO/MERRA2-Re-analysis/Precipitation		DOJO/WDI_cause_of_death_by_non_communicable_diseases_of_total/cause_of_death_by_non_communicable_diseases_of_total	DOJO/WDI_cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions_of_total/cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions_of_total	DOJO/WDI_prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_15_49/prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_15_49																																																													
wm/concept/health/gene	wm/concept/health/gene	Fragile States Index	DOJO/MERRA2-Re-analysis/Precipitation		DOJO/WDI_cause_of_death_by_non_communicable_diseases_of_total/cause_of_death_by_non_communicable_diseases_of_total	DOJO/WDI_cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions_of_total/cause_of_death_by_communicable_diseases_and_maternal_prenatal_and_nutrition_conditions_of_total	DOJO/WDI_prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_15_49/prevalence_of_anemia_among_women_of_reproductive_age_of_women_ages_15_49																																																													
wm/concept/health/healthcare	wm/concept/health/healthcare	Births Attended By Skilled Health Staff (% Of Total)	null		DOJO/WDI_physicians_per_1_000_people/physicians_per_1_000_people	DOJO/WDI_community_health_workers_per_1_000_people/community_health_workers_per_1_000_people	DOJO/UAZ_VUAZ-7031/VUAZ-7031																																																													
wm/concept/health/hygiene_materials	wm/concept/health/hygiene_materials	Births Attended By Skilled Health Staff (% Of Total)	"DOJO/UAZ_VUAZ-4460/FAO: Production, Wrapping and packaging paper and paperboard[tonnes]"		DOJO/WDI_people_with_basic_handwashing_facilities_including_soap_and_water_urban_of_urban_population/people_with_basic_handwashing_facilities_including_soap_and_water_urban_of_urban_population	DOJO/WDI_people_with_basic_handwashing_facilities_including_soap_and_water_of_population/people_with_basic_handwashing_facilities_including_soap_and_water_of_population	DOJO/WDI_people_with_basic_handwashing_facilities_including_soap_and_water_rural_of_rural_population/people_with_basic_handwashing_facilities_including_soap_and_water_rural_of_rural_population	1	Yes	1	3	No	3		1	1	yes	1	3	BetterCoverage	3		1	"{""id"":""UAZ_VUAZ-7488"", ,""name"":""University of Arizona Indicators """	",""display_name"":""WDI: People with basic handwashing facilities including soap and water[% of population]"", ,""description"":""WDI: People with basic handwashing facilities including soap and water[% of population]"""		"{""id"":""WDI_people_using_safely_managed_sanitation_services_of_population"", ,""name"":""World Development Indicators"""	",""display_name"":""People using safely managed sanitation services (% of population)"", ,""description"":""SOURCE NOTE: The percentage of people using improved sanitation facilities that are not shared with other households and where excreta are safely disposed of in situ or transported and treated offsite. Improved sanitation facilities include flush/pour flush to piped sewer systems, septic tanks or pit latrines: ventilated improved pit latrines, compositing toilets or pit latrines with slabs.\\nSOURCE ORGANIZATION: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org)."""		"{""id"":""WDI_people_with_basic_handwashing_facilities_including_soap_and_water_of_population"", ,""name"":""World Development Indicators"""	",""display_name"":""People with basic handwashing facilities including soap and water (% of population)"", ,""description"":""SOURCE NOTE: The percentage of people living in households that have a handwashing facility with soap and water available on the premises. Handwashing facilities may be fixed or mobile and include a sink with tap water, buckets with taps, tippy-taps, and jugs or basins designated for handwashing. Soap includes bar soap, liquid soap, powder detergent, and soapy water but does not include ash, soil, sand or other handwashing agents.\\nSOURCE ORGANIZATION: WHO/UNICEF Joint Monitoring Programme (JMP) for Water Supply, Sanitation and Hygiene (washdata.org)."""		"UAZ selections are all good. Cheryl  selected for a bit more variety. The causemos-default (FAO: Production, Wrapping and packaging paper and paperboard) is incorrect."										Robyn did not initially find anything but thinks Cheryl's selections are better than the Causemos default																									
wm/concept/health/hygiene_materials_general_storage_facilities	wm/concept/health/hygiene_materials wm/concept/storage/general_storage_facilities	"Consumer Prices, General Indices (2015 = 100) Value"	null		DOJO/WDI_transport_services_of_service_exports_bop/transport_services_of_service_exports_bop	DOJO/WDI_transport_services_of_service_imports_bop/transport_services_of_service_imports_bop	DOJO/WDI_other_manufacturing_of_value_added_in_manufacturing/other_manufacturing_of_value_added_in_manufacturing																																																													
wm/concept/health/injury	wm/concept/health/injury	Births Attended By Skilled Health Staff (% Of Total)	null		"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by injury, ages 15-34, male (% of relevant age group)"	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by injury, ages 15-34, female  (% of relevant age group)"	"DOJO/c8c1baf5-bd58-47af-bc51-7d0c924f00b8/Cause of death, by injury, ages 35-59, male (% of relevant age group)"																																																													
wm/concept/health/laboratory_testing	wm/concept/health/laboratory_testing	Births Attended By Skilled Health Staff (% Of Total)	DOJO/88e78b3f-c685-4eac-b4d9-27c5e4c22dcf/Country Of Asylum		DOJO/WDI_uhc_service_coverage_index/uhc_service_coverage_index	DOJO/WDI_tuberculosis_treatment_success_rate_of_new_cases/tuberculosis_treatment_success_rate_of_new_cases	DOJO/WDI_number_of_surgical_procedures_per_100_000_population/number_of_surgical_procedures_per_100_000_population																																																													
wm/concept/health/life	wm/concept/health/life	Total Deaths	DOJO/UAZ_VUAZ-8121/WDI: Women who believe a husband is justified in beating his wife when she argues with him[%]		DOJO/UAZ_VUAZ-8328/VUAZ-8328	DOJO/UAZ_VUAZ-7979/VUAZ-7979	DOJO/UAZ_VUAZ-7871/VUAZ-7871																																																													
wm/concept/health/life_global	wm/concept/health/life wm/property/geographic_resolution/global	Children wasted	DOJO/c0aa766b-519d-4ace-a36e-0b5d53ab9b3e/Population Living In Slums (% Of Urban Population)		DOJO/UAZ_VUAZ-8392/VUAZ-8392	DOJO/UAZ_VUAZ-8391/VUAZ-8391	DOJO/UAZ_VUAZ-8408/VUAZ-8408																																																													
